created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 07:55:21 +0000 2023;1718536989488873598;"Kurang lengkap apalagi edukasi yang diberikan oleh channel ini tentang masalah polusi udara. Mengapa diedukasi setiap hari setiap jam tetapi pemerintah Republik Indonesia tetap juga tidak mengerti dan hasil akhir kerjanya selalu buruk?Apakah disengaja? Gaji anda kurang bayar ya";0;1;0;0;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718536989488873598
Sun Oct 29 07:52:55 +0000 2023;1718536374331297899;"Ini foto untuk membedakan keadaan Pagi hari saat polusi udara tinggi dan pada saat polusi udara rendah. Terlihat sangat berbeda bukan keadaannya. Di Jakarta tidak mungkin terjadi kabut di Puncak aja terjadi kabut sesekali apalagi di Jakarta yang suhu udaranya lebih tinggi (panas) https://t.co/oQrOACFIFd";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718536374331297899
Sun Oct 29 07:45:42 +0000 2023;1718534559787340235;"Ini penampakan perbedaan hasil foto langit Jakarta yang berpolusi udara tinggi dan yang berpolusi udara rendah. https://t.co/vVIeScaWEB";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718534559787340235
Sun Oct 29 07:44:21 +0000 2023;1718534219641835755;"Seperti ini hasil foto langit Jakarta jika polusi udaranya rendah. Keadaan seperti inilah yang harus menjadi pencapaian Kota Jakarta untuk terjadi setiap hari tanpa terkecuali. https://t.co/dS1249gThr";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718534219641835755
Sun Oct 29 07:36:04 +0000 2023;1718532135718687062;"@nafasidn https://t.co/E0FgWa0FKG  Benar pada hari ini polusi udara Jakarta sangat buruk keadaannya.";0;0;0;1;in;1680198797744570369;1718526732620476727;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718532135718687062
Sun Oct 29 07:34:54 +0000 2023;1718531841844707360;"Selama 24 jam pada tanggal 29/10/2022 level polusi udaranya wajar dan sangat manusiawi. Tidak seperti yang terjadi pada hari ini tanggal 29/10/2023 yang di mana keadaan polusi udaranya sangat buruk dan memprihatinkan 😨🇮🇩🤢 https://t.co/h9tPuld6Yh";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718531841844707360
Sun Oct 29 07:32:58 +0000 2023;1718531355368374606;"Ini data polusi udara tanggal 29/10/2022 dari subuh hingga tengah malam. Sangat baik bukan keadaannya artinya Jakarta bisa dan mampu untuk membuat polusi udaranya rendah. Mohon program ini dilanjutkan karena inilah yang benar 🙏 https://t.co/a6mVwxNS6B";1;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718531355368374606
Sun Oct 29 07:17:57 +0000 2023;1718527576883286457;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  2:16 pm jkta rank 11 dunia. Sdh 14 jam nonstop udara berbau asap dr PLTU batu bara. Mengapa yg di tj priok ngegas maximal pdhal angin laut masuk ke darat?🤦🏻‍♂️ https://t.co/hV7pFBfhsx";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718527576883286457
Sun Oct 29 07:10:39 +0000 2023;1718525740143231155;"@kikysaputrii Polusi udara jakarta pd hari ini 🤕";0;0;0;0;in;1680198797744570369;1718514281472512124;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718525740143231155
Sun Oct 29 07:06:59 +0000 2023;1718524815282446726;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  2:05pm PM 2,5: 56 unt kemayoran jakarta. Polusi udara ini berasal dr PLTU batu bara. Gelo tega bener ya berbuat sprti ini. Turunkan kinerjanya ke 30% aja 🙏🏻 https://t.co/jYmOoAaxrP";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718524815282446726
Sun Oct 29 05:35:55 +0000 2023;1718501898460995925;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  Polusi udara jakarta di minggu siang ini bener2 extreme buruk nya. Sumber2 penghasil polusi udara tidak di atasi, PR ini susah selesainya https://t.co/hT2lcnccwT";0;1;0;2;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718501898460995925
Sun Oct 29 05:19:24 +0000 2023;1718497743067615405;"@mtshabr Polusi udara yg sumbernya dr laut utara jakarta terus menerus memproduksi asap. Angin laut ke arah darat membawa semua asap polusi udara ini masuk ke dalam kota jakarta 🤢🇮🇩 https://t.co/HHCJRtkPL5";0;0;0;2;in;1680198797744570369;1718490580148478262;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718497743067615405
Sun Oct 29 05:17:03 +0000 2023;1718497149154168988;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  12:15pm jakarta rank 12 dunia. Tetapi polusi udara di jakarta utara sangat buruk keadaannya. Krn sumber polusi ada di lait utara jakarta, edan parah🇮🇩 https://t.co/4hcrwNAW30";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718497149154168988
Sun Oct 29 05:03:18 +0000 2023;1718493688639398102;"PLTU pluit dan tj priok ganas amat asap yg kalian keluarkan.. kur kur lah ini hari minggu loh. Jalanan sepi pabrik pun tutup saat ini tdk beroperasi woyyy.. uda 12 jam nih level merah polusi jakarta 🤢🇮🇩 sengaja bgt yaa, parahh";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718493688639398102
